"systemstartsetdatetime","systemstartsetlatitude","systemstartsetlongitude","systemendsetdatetime","systemendsetlatitude","systemendsetlongitude","systemstarthauldatetime","systemstarthaullatitude","systemstarthaullongitude","systemendhauldatetime","systemendhaullatitude","systemendhaullongitude"
"2023-07-10 11:07:14.946476-07:00","7.91698","-89.63388","2023-07-10 14:48:26.907310-07:00","8.10196","-89.90413","2023-07-11 04:14:37.860047-07:00","8.05838","-89.8715","2023-07-11 10:08:21.432659-07:00","7.87873","-89.66538"
"2023-07-12 04:08:10.994987-07:00","7.97934","-90.06813","2023-07-12 07:57:12.494176-07:00","8.11225","-90.41445","2023-07-12 15:56:46.002522-07:00","8.22547","-90.36683","2023-07-12 22:05:42.016882-07:00","8.20904","-89.99687"
"2023-07-12 22:23:38.266830-07:00","8.21116","-89.99449","2023-07-12 22:23:44.106995-07:00","8.21116","-89.99449","2023-07-12 22:23:45.018188-07:00","8.21121","-89.99446","2023-07-12 22:23:45.018188-07:00","8.21121","-89.99446"
"2023-07-13 05:47:41.297024-07:00","8.31507","-89.79025","2023-07-13 09:30:41.863370-07:00","8.53644","-90.02134","2023-07-14 04:50:29.708058-07:00","8.42884","-89.75226","2023-07-14 12:04:51.713884-07:00","8.17035","-89.43373"
"2023-07-15 04:25:57.999467-07:00","8.95001","-89.00634","2023-07-15 08:10:00.506042-07:00","9.12874","-89.25891","2023-07-15 16:37:47.003148-07:00","9.11726","-89.10761","2023-07-16 01:09:05.414832-07:00","8.94618","-88.64548"
"2023-07-16 13:23:26.214020-07:00","9.09477","-88.14047","2023-07-16 13:23:53.884693-07:00","9.09468","-88.14049","2023-07-17 05:21:36.000205-07:00","9.20177","-88.26387","2023-07-17 12:00:56.918492-07:00","9.26148","-88.57964"
"2023-07-19 02:46:06.641525-07:00","7.84036","-88.48767","2023-07-19 10:06:43.867314-07:00","8.04735","-88.65289","2023-07-19 10:06:51.929104-07:00","8.04735","-88.65289","2023-07-19 10:06:53.867314-07:00","8.04738","-88.65285"
"2023-07-20 04:50:12.001215-07:00","8.10038","-88.36945","2023-07-20 08:48:29.094794-07:00","7.90587","-88.0436","2023-07-21 02:52:51.942142-07:00","8.11167","-87.77887","2023-07-21 11:30:12.600881-07:00","8.42166","-87.82399"
"2023-07-22 05:41:12.028078-07:00","8.67692","-87.60994","2023-07-22 09:35:36.369162-07:00","8.89689","-87.88758","2023-07-23 02:30:57.992322-07:00","9.19077","-87.64472","2023-07-23 11:12:24.002850-07:00","9.33952","-87.31846"
"2023-07-23 14:23:04.998366-07:00","9.41178","-87.3121","2023-07-23 18:13:01.846318-07:00","9.59","-87.66827","2023-07-24 04:55:57.927835-07:00","9.71088","-87.78706","2023-07-24 12:40:31.996977-07:00","9.76747","-87.59309"
"2023-07-26 05:19:37.649780-07:00","8.68127","-88.36593","2023-07-26 09:13:50.646906-07:00","8.47238","-88.03951","2023-07-26 23:33:23.460766-07:00","8.71353","-87.76933","2023-07-27 04:03:37.343970-07:00","8.96049","-87.88136"
"2023-08-10 06:12:56.203728-07:00","6.43192","-86.45322","2023-08-10 10:54:49.021342-07:00","6.64654","-86.81263","2023-08-11 02:48:09.311175-07:00","6.62927","-86.88292","2023-08-11 09:50:52.016524-07:00","6.34283","-86.7319"
"2023-08-12 07:01:01.152513-07:00","6.33042","-86.82952","2023-08-12 11:24:48.411869-07:00","6.66813","-87.0089","2023-08-13 04:31:58.931734-07:00","6.63045","-86.9781","2023-08-13 13:22:10.594222-07:00","6.2842","-86.89287"
"2023-08-15 13:07:12.598440-07:00","9.16949","-87.33355","2023-08-15 17:24:27.537619-07:00","9.4043","-87.57273","2023-08-16 08:19:17.807664-07:00","9.2853","-87.51665","2023-08-16 19:57:48.518496-07:00","9.36615","-87.14594"
"2023-08-17 18:40:01.311000-07:00","9.43982","-86.84676","2023-08-17 22:32:03.142740-07:00","9.68952","-87.03149","2023-08-18 07:29:44.078043-07:00","9.72627","-86.89683","2023-08-18 13:30:12.046619-07:00","9.62712","-86.57398"
"2023-08-19 04:14:43.442220-07:00","9.74557","-86.54335","2023-08-19 08:06:27.575351-07:00","9.49594","-86.28544","2023-08-20 00:24:35.997201-07:00","9.65858","-86.32394","2023-08-20 09:17:59.857922-07:00","10.1542","-86.64456"
"2023-08-21 12:37:07.946640-07:00","9.76297","-86.57215","2023-08-21 16:32:44.293831-07:00","9.5661","-86.26632","2023-08-22 07:00:19.925607-07:00","9.76263","-86.25064","2023-08-22 13:57:29.715284-07:00","10.17724","-86.42046"
"2023-08-23 11:10:42.488523-07:00","9.08506","-85.91918","2023-08-23 15:41:50.404007-07:00","9.34902","-86.18704","2023-08-24 05:52:51.015332-07:00","9.40111","-86.21829","2023-08-24 14:40:52.452110-07:00","9.08375","-86.00685"
"2023-08-26 11:14:33.093924-07:00","9.24352","-85.28269","2023-08-26 15:24:13.876428-07:00","9.43721","-85.43364","2023-08-27 05:27:01.780229-07:00","9.25813","-85.30209","2023-08-27 14:22:18.259601-07:00","9.2232","-85.34801"
"2023-09-11 15:29:15.723649-07:00","5.21991","-84.81427","2023-09-12 05:18:25.525387-07:00","5.18044","-84.78224","2023-09-12 05:18:32.771920-07:00","5.18044","-84.78224","2023-09-12 12:15:55.086462-07:00","4.96522","-85.00841"
"2023-09-22 13:39:44.205533-07:00","6.92769","-85.6241","2023-09-22 19:59:05.000046-07:00","6.72487","-85.33451","2023-09-22 19:59:15.613326-07:00","6.72487","-85.33451","2023-09-22 19:59:33.243972-07:00","6.72487","-85.33451"
"2023-09-22 13:39:44.205533-07:00","6.92769","-85.6241","2023-09-22 19:59:05.000046-07:00","6.72487","-85.33451","2023-09-22 19:59:15.613326-07:00","6.72487","-85.33451","2023-09-22 19:59:33.243972-07:00","6.72487","-85.33451"
