systemstartsetdatetime,systemstartsetlatitude,systemstartsetlongitude,systemendsetdatetime,systemendsetlatitude,systemendsetlongitude,systemstarthauldatetime,systemstarthaullatitude,systemstarthaullongitude,systemendhauldatetime,systemendhaullatitude,systemendhaullongitude
2024-03-07 17:16:25.001135+00:00,8.71044,-87.15315,2024-03-07 21:10:27.235691+00:00,8.90828,-87.4353,2024-03-08 12:00:50.411208+00:00,8.86977,-87.37621,2024-03-08 16:38:43.052853+00:00,8.68295,-87.10638
2024-03-08 20:58:14.316895+00:00,8.27519,-87.03738,2024-03-09 00:49:31.026517+00:00,8.39441,-87.23622,2024-03-09 12:23:43.013554+00:00,8.21097,-87.14365,2024-03-09 17:16:57.026750+00:00,8.02369,-86.92983
2024-03-10 20:21:27.986975+00:00,8.29977,-87.029,2024-03-10 22:39:03.928660+00:00,8.38206,-87.20936,2024-03-11 11:25:19.999276+00:00,8.33339,-87.21712,2024-03-11 16:36:22.487454+00:00,8.25169,-87.00514
2024-03-13 11:17:36.000307+00:00,9.17568,-85.58216,2024-03-13 19:04:53.289624+00:00,8.97426,-85.44898,2024-03-14 05:26:06.723657+00:00,9.03367,-85.68888,2024-03-14 09:59:36.999914+00:00,9.14693,-85.94424
2024-03-14 20:19:17.965459+00:00,8.61067,-86.67636,2024-03-15 00:22:46.630824+00:00,8.77248,-86.95093,2024-03-15 11:47:01.036924+00:00,8.78464,-86.93716,2024-03-15 20:05:34.005514+00:00,8.53721,-86.67012
2024-03-15 20:05:50.005541+00:00,8.53747,-86.67031,2024-03-16 00:49:50.006016+00:00,8.70574,-86.9509,2024-03-16 13:34:05.028606+00:00,8.56959,-86.85172,2024-03-16 15:53:23.261932+00:00,8.45291,-86.75802
2024-03-16 19:54:13.005208+00:00,8.53438,-86.67705,2024-03-16 23:33:15.965548+00:00,8.65618,-86.97225,2024-03-17 12:56:12.062128+00:00,8.65151,-86.8863,2024-03-17 16:33:19.311838+00:00,8.5304,-86.72104
2024-03-17 19:38:00.000093+00:00,8.57749,-86.67153,2024-03-18 00:12:51.360487+00:00,8.72699,-86.99994,2024-03-18 12:30:00.020852+00:00,8.72247,-86.93093,2024-03-18 17:58:02.938062+00:00,8.51612,-86.65704
2024-03-18 20:24:16.937259+00:00,8.66939,-86.57821,2024-03-19 01:06:39.893399+00:00,8.47349,-86.25253,2024-03-19 12:26:31.945370+00:00,8.44772,-86.25939,2024-03-19 16:40:48.862542+00:00,8.51798,-86.50227
2024-03-21 22:11:28.018003+00:00,7.05976,-85.53793,2024-03-22 02:20:34.548937+00:00,6.85599,-85.20088,2024-03-22 12:15:11.097014+00:00,6.90745,-85.06884,2024-03-22 16:38:46.043723+00:00,7.06756,-85.22422
2024-03-24 15:13:04.912003+00:00,6.00418,-85.06272,2024-03-24 19:22:26.047884+00:00,6.33035,-84.87479,2024-03-25 10:51:07.704953+00:00,6.24381,-84.80774,2024-03-25 16:37:49.027027+00:00,5.95463,-84.96161
2024-03-26 14:23:54.676073+00:00,5.98578,-84.87274,2024-03-26 18:42:17.631892+00:00,6.14218,-84.50166,2024-03-27 09:23:13.755853+00:00,6.17289,-84.39264,2024-03-27 15:06:39.729004+00:00,6.04848,-84.61759
2024-03-28 19:59:13.840935+00:00,6.60102,-84.16841,2024-03-29 16:30:58.839621+00:00,6.52935,-84.14265,2024-03-29 16:31:02.839626+00:00,6.52943,-84.14261,2024-03-29 16:31:05.839629+00:00,6.52949,-84.14256
2024-03-31 08:02:06.953919+00:00,8.99837,-85.27211,2024-03-31 10:34:21.947596+00:00,9.12975,-85.47243,2024-03-31 21:10:19.916608+00:00,9.11544,-85.4289,2024-03-31 23:22:27.888117+00:00,9.05978,-85.31634
