start_set,start_set_latitude,start_set_longitude,end_set,end_set_latitude,end_set_longitude,start_haul,start_haul_latitude,start_haul_longitude,end_haul,end_haul_latitude,end_haul_longitude
2024-02-06 11:49z,8.08127,-87.70410,2024-02-06 16:22z,8.09136,-87.99563,2024-02-06 23:07z,8.08984,-87.85636,2024-02-07 14:15z,8.09188,-87.25032
2024-02-07 14:46z,8.08783,-87.23967,2024-02-07 19:12z,8.07840,-87.49195,2024-02-08 08:34z,8.03234,-87.24802,2024-02-08 16:13z,8.06340,-86.75905
2024-02-09 17:37z,8.08946,-87.94503,2024-02-09 21:46z,8.27572,-88.18418,2024-02-10 11:38z,8.31517,-87.93878,2024-02-10 16:55z,8.12392,-87.58684
2024-02-10 17:50z,8.18418,-87.61930,2024-02-10 22:24z,8.26707,-87.89024,2024-02-11 09:52z,8.24554,-87.70802,2024-02-11 15:32z,8.13075,-87.30541
2024-02-12 15:52z,7.95765,-88.17537,2024-02-12 15:52z,7.95770,-88.17542,2024-02-13 01:25z,8.00815,-88.03093,2024-02-13 14:10z,8.23381,-88.03070
2024-02-13 15:26z,8.30825,-88.08572,2024-02-13 18:46z,8.43106,-88.26318,2024-02-14 09:32z,8.41307,-87.97988,2024-02-14 16:13z,8.31989,-87.84191
2024-02-15 18:47z,7.75877,-87.76289,2024-02-15 23:13z,7.81761,-88.09440,2024-02-16 10:52z,7.97144,-87.89990,2024-02-16 16:41z,7.92923,-87.47221
2024-02-16 18:06z,7.97504,-87.33628,2024-02-16 22:01z,7.94548,-86.92834,2024-02-17 11:34z,7.89461,-86.66596,2024-02-17 18:03z,7.89857,-86.75769
2024-02-18 11:50z,8.00649,-87.79995,2024-02-18 16:09z,7.75613,-87.45998,2024-02-19 04:48z,7.63837,-87.33404,2024-02-19 14:50z,7.74592,-87.46152
2024-02-20 16:01z,8.30246,-88.02273,2024-02-20 20:35z,8.15430,-87.67423,2024-02-21 10:56z,8.16336,-87.52743,2024-02-21 16:23z,8.34253,-87.74323
2024-02-22 16:27z,7.93509,-86.17633,2024-02-22 20:52z,7.70323,-85.88326,2024-02-23 08:29z,7.85638,-85.77876,2024-02-23 16:05z,8.04339,-85.88925
2024-02-23 18:37z,7.92435,-85.94554,2024-02-23 22:58z,7.92435,-85.94554,2024-02-24 09:48z,7.86985,-85.41481,2024-02-24 15:42z,7.98537,-85.59553
2024-02-24 21:35z,8.23868,-85.69524,2024-02-25 01:13z,8.35569,-85.43074,2024-02-25 10:39z,8.44400,-85.43689,2024-02-25 17:07z,8.48501,-85.72956
2024-02-26 17:43z,8.72668,-85.42779,2024-02-26 21:53z,8.60700,-85.13841,2024-02-27 09:22z,8.64778,-85.04656,2024-02-27 15:01z,8.75812,-85.36842
