systemstartsetdatetime,systemstartsetlatitude,systemstartsetlongitude,systemendsetdatetime,systemendsetlatitude,systemendsetlongitude,systemstarthauldatetime,systemstarthaullatitude,systemstarthaullongitude,systemendhauldatetime,systemendhaullatitude,systemendhaullongitude
2024-03-11 11:32:06.483350+00:00,8.4222,-88.2238,2024-03-11 16:40:00.396497+00:00,8.32215,-87.87819,2024-03-11 23:00:59.377450+00:00,8.24091,-87.90758,2024-03-12 14:33:42.241252+00:00,8.17129,-88.16075
2024-03-13 17:54:44.760881+00:00,6.96374,-87.74574,2024-03-13 21:50:21.662708+00:00,6.76889,-87.40458,2024-03-14 10:20:35.515921+00:00,6.63203,-87.17901,2024-03-14 13:52:36.475474+00:00,6.64655,-87.33797
2024-03-15 18:27:06.040811+00:00,6.22219,-89.27102,2024-03-15 22:50:42.925573+00:00,5.85495,-89.51634,2024-03-16 11:17:25.522995+00:00,5.80742,-89.65768,2024-03-16 16:25:35.696095+00:00,6.05803,-89.53677
2024-03-16 19:10:42.624056+00:00,6.23652,-89.49371,2024-03-16 22:44:53.718167+00:00,6.4963,-89.51722,2024-03-17 11:37:50.352807+00:00,6.55209,-89.45784,2024-03-17 15:30:41.962879+00:00,6.37373,-89.51264
2024-03-19 11:45:45.149306+00:00,6.2161,-89.1541,2024-03-19 15:55:19.868922+00:00,6.43814,-89.03602,2024-03-20 03:36:23.687693+00:00,6.38263,-89.03575,2024-03-20 16:06:59.014199+00:00,6.18406,-89.26512
2024-03-21 16:00:31.159934+00:00,6.12827,-89.39724,2024-03-21 20:48:45.830208+00:00,6.40503,-89.61965,2024-03-22 10:30:38.337892+00:00,6.34606,-89.59831,2024-03-22 16:02:23.364090+00:00,6.02146,-89.42958
2024-03-22 16:55:07.750968+00:00,6.02006,-89.42516,2024-03-22 22:00:08.697158+00:00,6.07743,-89.79337,2024-03-23 18:15:19.649730+00:00,5.97012,-89.84021,2024-03-23 22:38:55.660401+00:00,5.84152,-89.56645
2024-03-24 15:41:17.623889+00:00,5.74012,-89.73423,2024-03-24 20:20:01.245314+00:00,5.43151,-89.60282,2024-03-25 09:27:05.470772+00:00,5.4819,-89.77104,2024-03-25 17:21:02.667632+00:00,5.76813,-90.07473
2024-03-26 12:10:28.483234+00:00,5.89978,-90.15076,2024-03-26 17:15:34.996010+00:00,5.7343,-90.11864,2024-03-27 09:31:24.550459+00:00,5.64755,-90.14435,2024-03-27 15:32:30.309867+00:00,5.90253,-90.09214
2024-03-29 15:36:38.904599+00:00,5.83707,-90.80938,2024-03-29 20:11:25.115122+00:00,5.64898,-91.08603,2024-03-30 11:08:16.479914+00:00,5.88168,-91.21811,2024-03-30 17:23:46.999958+00:00,6.21268,-91.02086
2024-04-01 15:04:50.070555+00:00,7.75136,-88.40382,2024-04-01 19:48:20.528011+00:00,7.6831,-87.9378,2024-04-02 09:24:32.943297+00:00,7.47786,-87.78765,2024-04-02 17:46:50.073397+00:00,7.29759,-88.04485
2024-04-04 18:58:21.698949+00:00,8.38955,-85.85574,2024-04-04 23:23:08.607664+00:00,8.52945,-85.49105,2024-04-05 11:46:32.665522+00:00,8.51261,-85.51185,2024-04-05 17:31:01.704317+00:00,8.35834,-85.73204
