"systemstartsetdatetime","systemstartsetlatitude","systemstartsetlongitude","systemendsetdatetime","systemendsetlatitude","systemendsetlongitude","systemstarthauldatetime","systemstarthaullatitude","systemstarthaullongitude","systemendhauldatetime","systemendhaullatitude","systemendhaullongitude"
"2023-06-23 12:15:28.238212-07:00","9.97523","-84.83529","2023-06-23 12:15:29.000952-07:00","9.97523","-84.83534","2023-06-23 12:15:29.000952-07:00","9.97523","-84.83534","2023-06-23 12:15:34.653453-07:00","9.97523","-84.83534"
"2023-06-23 12:40:24.789615-07:00","9.97526","-84.8353","2023-06-23 12:40:26.188482-07:00","9.97526","-84.8353","2023-06-23 12:40:27.588917-07:00","9.97526","-84.8353","2023-06-23 12:40:28.672878-07:00","9.97526","-84.8353"
"2023-07-05 13:32:35.075076-07:00","9.43639","-84.16786","2023-07-05 13:32:36.126326-07:00","9.43639","-84.16786","2023-07-05 13:32:39.391553-07:00","9.43639","-84.16786","2023-07-05 13:32:40.804611-07:00","9.43639","-84.16786"
"2023-07-05 13:38:16.538867-07:00","9.43642","-84.16785","2023-07-05 13:38:23.584787-07:00","9.43642","-84.16785","2023-07-05 13:38:34.702534-07:00","9.43642","-84.16785","2023-07-05 13:38:41.292318-07:00","9.43642","-84.16785"
"2023-08-30 12:25:00.0-07:00","8.91925","-87.67176","2023-08-26 15:36:21.161800-07:00","6.65178","-88.62644","2023-08-27 04:55:50.181494-07:00","6.7347","-88.51594","2023-08-27 14:03:36.081876-07:00","6.55947","-88.36664"
"2023-08-30 12:26:22.004611-07:00","8.91813","-87.66507","2023-08-30 16:04:47.695853-07:00","8.75033","-87.37455","2023-08-31 03:59:06.985983-07:00","8.92145","-87.32244","2023-08-31 10:39:18.610007-07:00","9.09126","-87.50902"
"2023-09-02 07:35:58.196949-07:00","9.0539","-87.12717","2023-09-02 11:07:19.132934-07:00","9.18662","-87.39758","2023-09-03 00:44:05.839245-07:00","9.37686","-87.29991","2023-09-03 08:38:21.191847-07:00","9.4976","-87.07468"
"2023-09-05 04:33:14.613695-07:00","8.44722","-85.82252","2023-09-05 08:00:27.351531-07:00","8.57659","-86.13025","2023-09-05 16:10:17.605422-07:00","8.62587","-86.12077","2023-09-06 02:57:52.977501-07:00","8.58184","-85.82598"
"2023-09-08 04:28:39.020357-07:00","6.5012","-84.65845","2023-09-08 06:29:22.071458-07:00","6.45396","-84.50202","2023-09-08 17:43:57.390122-07:00","6.56162","-84.61297","2023-09-09 05:14:18.802330-07:00","6.69756","-84.80053"
"2023-09-10 05:02:44.882517-07:00","7.11989","-84.29983","2023-09-10 08:44:43.759706-07:00","7.03501","-84.00751","2023-09-10 20:17:23.968939-07:00","7.16194","-84.2689","2023-09-11 08:43:29.079128-07:00","7.06659","-84.00433"
"2023-09-11 12:37:01.517549-07:00","7.30854","-84.18044","2023-09-11 15:59:52.732673-07:00","7.12793","-83.95291","2023-09-12 04:57:45.317373-07:00","7.07129","-83.91317","2023-09-12 10:30:03.432172-07:00","7.24478","-84.0177"
"2023-09-13 05:01:10.405280-07:00","7.08708","-83.85572","2023-09-13 07:54:39.457260-07:00","7.09449","-84.11009","2023-09-14 01:21:12.897561-07:00","6.88542","-83.87439","2023-09-14 04:19:57.881669-07:00","6.92676","-84.08996"
"2023-09-14 09:01:32.647068-07:00","7.09175","-83.7646","2023-09-14 12:44:40.978583-07:00","7.18027","-84.04482","2023-09-15 02:14:55.683693-07:00","7.04266","-84.01945","2023-09-15 07:27:20.808680-07:00","7.01833","-83.9158"
"2023-09-16 04:44:29.788898-07:00","6.93537","-83.85082","2023-09-16 08:55:39.370594-07:00","7.1704","-84.11049","2023-09-16 19:32:31.787405-07:00","6.87443","-83.96543","2023-09-17 06:54:11.385052-07:00","6.93755","-84.19699"
"2023-09-17 09:18:09.944575-07:00","6.83061","-84.11247","2023-09-17 13:23:15.858272-07:00","7.04337","-84.35552","2023-09-18 02:53:06.309969-07:00","6.95756","-84.39882","2023-09-18 08:17:33.249394-07:00","6.86593","-84.25411"
"2023-10-09 05:05:27.791641-07:00","6.02473","-84.36343","2023-10-09 08:27:11.160523-07:00","5.75504","-84.48324","2023-10-09 23:35:06.331149-07:00","5.67749","-84.63224","2023-10-10 07:11:32.334416-07:00","5.87754","-84.62267"
"2023-10-12 05:56:58.127253-07:00","5.47876","-84.65743","2023-10-12 09:49:51.100141-07:00","5.13577","-84.5259","2023-10-12 23:46:13.985356-07:00","5.01227","-84.45556","2023-10-13 09:25:09.579988-07:00","5.13468","-84.5904"
"2023-10-15 08:27:26.741925-07:00","5.08829","-84.69962","2023-10-15 11:17:08.670047-07:00","5.15629","-84.86551","2023-10-16 00:35:30.465956-07:00","4.99519","-84.47013","2023-10-16 07:52:04.322281-07:00","4.96503","-84.66362"
"2023-10-21 04:54:08.693762-07:00","4.90518","-84.99996","2023-10-21 08:45:57.131972-07:00","5.16673","-84.97269","2023-10-22 00:28:28.916455-07:00","4.91818","-85.0017","2023-10-22 07:28:03.561700-07:00","4.58434","-84.94811"
"2023-10-23 04:51:04.464442-07:00","4.45263","-84.97009","2023-10-23 08:39:22.383411-07:00","4.61832","-84.7258","2023-10-23 22:14:55.251044-07:00","4.64214","-84.75783","2023-10-24 11:34:26.397821-07:00","4.59834","-84.89726"
"2023-10-27 12:47:16.497576-07:00","6.14953","-84.86692","2023-10-27 15:15:55.941096-07:00","6.26899","-84.88385","2023-10-28 04:39:08.007645-07:00","6.09593","-84.83089","2023-10-28 08:58:48.423888-07:00","5.9332","-84.79613"
