vessel,trip_number,set_number,set_id,date,observation,category,start_time,end_time,duration
,,,,,,,12/30/1899 0:00:00,,
St. Patrick,1,1,stpatrick_2024-01-03_set_01,1/7/2024,"During the hauling, there is a jump of 2 minutes between 09:02am and 09:04am. We can't see if there has been a catch or not. ",No Video,1/7/2024 9:02:00,1/7/2024 9:04:00,
St. Patrick,1,1,stpatrick_2024-01-03_set_01,1/7/2024,"The video is unusable between 09:11am to 11:06am : the screen is black. We suppose alight breakdown because we can see that there is no light anymore on the boat and we can see a fisherman with a flishlight going to the engine machine and then the light is back again. We can't say with 100% confidence that there has been no fishing but we think there has not. Once the light back, we can see the boat sailing again (while it was not when the light was off), we suspect that once the light breakdown was over, the vessel came back to the previous longline to start fishing again at 11:26. ",Camera Blocked,1/7/2024 9:11:00,1/7/2024 11:06:00,
St. Patrick,1,1,stpatrick_2024-01-03_set_01,1/7/2024,"The video is unusable between 09:11am to 11:06am : the screen is black. We suppose alight breakdown because we can see that there is no light anymore on the boat and we can see a fisherman with a flishlight going to the engine machine and then the light is back again. We can't say with 100% confidence that there has been no fishing but we think there has not. Once the light back, we can see the boat sailing again (while it was not when the light was off), we suspect that once the light breakdown was over, the vessel came back to the previous longline to start fishing again at 11:26am. ",Abnormal Haul,1/7/2024 9:11:00,1/7/2024 11:26:00,
St. Patrick,1,1,stpatrick_2024-01-03_set_01,1/7/2024,"During the hauling, there is a jump of 2 minutes  between 12:18pm to 12:40pm .  We suspect only one mahi mahi caught during that time because when the video comes back again, we can see the mahi mahi put aside the shark caught before video out. ",No Video,1/7/2024 12:18:00,1/7/2024 12:40:00,
St. Patrick,1,2,stpatrick_2024-01-03_set_02,1/10/2024,Lack of video on 01/10 between 12:36pm and 12:44pm,No Video,1/10/2024 12:36:00,1/10/2024 12:44:00,
Brancol,1,3,brancol_2024-01-05_set_03,1/14/2024,Line tangled at +8.451 ; -87.955 10:13am,Haul Stop,1/14/2024 10:13:00,,
Brancol,1,3,brancol_2024-01-05_set_03,1/14/2024,"CAMERA1 suht down between 10:23 am and 10:42 am. When the camera came back, the hauling was stoped and the fishermen came back at 10:49 am at +8.4821512 ; -87.9861111",No Video,1/14/2024 10:23:00,1/14/2024 10:42:00,
St. Patrick,1,3,stpatrick_2024-01-03_set_03,1/15/2024,Stop of hauling between 09:37 am to 11:15 am,Haul Stop,1/15/2024 9:37:00,1/15/2024 11:15:00,
Brancol,1,4,brancol_2024-01-05_set_04,1/16/2024,"CAMERA 1 shut down between 5:35 am and 5:45 am. When the camera came back, the hauling was finished. We don't have the data of CAMERA 2 yet. Can be discussed when we'll have the CAMERA 2 data available. ",No Video,1/16/2024 5:35:00,1/16/2024 5:45:00,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.585 ; -86.448 (7:52am),Haul Stop,1/17/2024 7:52:00,,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.536 ; -86.375 (9:24am),Haul Stop,1/17/2024 9:24:00,,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.529 ; -86.357 (9:49am),Haul Stop,1/17/2024 9:49:00,,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.545 ; -86.333 (10:55am),Haul Stop,1/17/2024 10:55:00,,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.542 ; -86.314 (11:34am),Haul Stop,1/17/2024 11:34:00,,
St. Patrick,1,4,stpatrick_2024-01-03_set_04,1/17/2024,Lack of video the 17th of January between 01:01 pm and 01:05 pm,No Video,1/17/2024 13:01:00,1/17/2024 13:05:00,
St. Patrick,1,4,stpatrick_2024-01-03_set_04,1/17/2024,The haul stops between 01:01pm and 01:31pm.,Haul Stop,1/17/2024 13:01:00,1/17/2024 13:31:00,
Brancol,1,5,brancol_2024-01-05_set_05,1/17/2024,line tangled at +9.504 ; -86.258 (1:28pm)  ,Haul Stop,1/17/2024 13:28:00,,
Brancol,1,6,brancol_2024-01-05_set_06,1/19/2024,"Hauling stopped between 1:07 am (+8.678 ; -84.602 ) and 9:29 am (+8.690, -84.594)        ",Haul Stop,1/19/2024 1:07:00,1/19/2024 9:29:00,
St. Patrick,1,5,stpatrick_2024-01-03_set_05,1/20/2024,Lack of video between 12:28 pm and 12:36 pm (20/01/2024) ,No Video,1/20/2024 12:28:00,1/20/2024 12:36:00,
Brancol,1,7,brancol_2024-01-05_set_07,1/21/2024,The hauling finish time on the logbook is wrong ,Elog Incorrect,1/21/2024 10:47:00,1/21/2024 11:58:56,
Brancol,1,8,brancol_2024-01-05_set_08,1/22/2024,Hauling stopped between 6:50 am (+8.338 ; -84.343) and 7:10 am (+8.319 ; -84.321),Haul Stop,1/22/2024 6:50:00,1/22/2024 7:10:00,
Brancol,1,8,brancol_2024-01-05_set_08,1/22/2024,"Cameras hidden at the beginning of setting : we indicated 12:06pm in the ""setting table"" regarding the logbook but we have the video only at 12:07 pm and the setting has already started",Camera Blocked,1/22/2024 12:06:00,1/22/2024 12:07:00,
St. Patrick,1,6,stpatrick_2024-01-03_set_06,1/23/2024,Start and end time of hauling is wrong on the logbook. Elog reported much later haul start.,Elog Incorrect,1/23/2024 5:36:00,1/23/2024 11:23:12,
St. Patrick,1,6,stpatrick_2024-01-03_set_06,1/23/2024,Lack of video between 07:58am and 08:03 am. (23/01/2024),No Video,1/23/2024 7:58:00,1/23/2024 8:03:00,
St. Patrick,1,6,stpatrick_2024-01-03_set_06,1/23/2024,"Start and end time of hauling is wrong on the logbook. Elog reported haul end and hour later, haul duration is only 6 minutes. ",Elog Incorrect,1/23/2024 10:22:00,1/23/2024 11:23:18,
Brancol,1,9,brancol_2024-01-05_set_09,1/23/2024,Line tangled at 11:38am (+8.236 ; -83.878)        ,Gear Issue,1/23/2024 11:38:00,,
St. Patrick,1,7,stpatrick_2024-01-03_set_07,1/23/2024,Break during the hauling between 12:52 pm and 07:28am (24/01/2024),Haul Stop,1/23/2024 12:52:00,1/24/2024 7:28:00,
St. Patrick,1,6,stpatrick_2024-01-03_set_06,1/23/2024,"End time of the setting different in the logbook. It ends at 03:21pm, not 03:53pm. ",Elog Incorrect,1/23/2024 15:21:00,1/23/2024 15:53:00,
