,id,name,vector_id,datetime,score,rerunscore
26,18255,elog time gap vector at 2024-01-13 01:32:36Z,6,2024-01-12 17:32:36.107722-08,0.9981513747472676,0.000628899049198669
118,18349,elog time gap vector at 2024-01-13 05:32:44Z,6,2024-01-12 21:32:44.646228-08,0.9987603443464615,0.00114574369120403
82,18486,elog time gap vector at 2024-01-13 11:41:25Z,6,2024-01-13 03:41:25.855817-08,0.9993290658964264,0.00287495869036303
24,18583,elog time gap vector at 2024-01-13 16:10:07Z,6,2024-01-13 08:10:07.92583-08,0.9995711655930334,0.00561275539110223
114,18677,elog time gap vector at 2024-01-13 20:10:16Z,6,2024-01-13 12:10:16.98414-08,0.994542718908624,0.0101839362799079
130,18815,elog time gap vector at 2024-01-14 02:21:49Z,6,2024-01-13 18:21:49.461036-08,0.994542718908624,0.0253857360316561
47,18909,elog time gap vector at 2024-01-14 06:21:57Z,6,2024-01-13 22:21:57.238706-08,0.994542718908624,0.0453242193206991
135,19063,elog time gap vector at 2024-01-14 13:20:12Z,6,2024-01-14 05:20:12.276887-08,0.994542718908624,0.119003194480504
8,19227,elog time gap vector at 2024-01-14 21:06:57Z,6,2024-01-14 13:06:57.745323-08,0.994542718908624,0.000153143063939041
164,19321,elog time gap vector at 2024-01-15 01:07:05Z,6,2024-01-14 17:07:05.877657-08,0.994542718908624,0.000279104259435019
144,19415,elog time gap vector at 2024-01-15 05:07:13Z,6,2024-01-14 21:07:13.190846-08,0.994542718908624,0.000508599328381783
139,19544,elog time gap vector at 2024-01-15 11:12:59Z,6,2024-01-15 03:12:59.0222-08,0.994542718908624,0.00126814432794364
46,19636,elog time gap vector at 2024-01-15 15:22:18Z,6,2024-01-15 07:22:18.641692-08,0.994542718908624,0.00236263063648028
2,19764,elog time gap vector at 2024-01-15 21:04:53Z,6,2024-01-15 13:04:53.443561-08,0.994542718908624,0.00554573966072772
1,19918,elog time gap vector at 2024-01-16 04:03:52Z,6,2024-01-15 20:03:52.053962-08,0.994542718908624,0.0156467438169203
119,20044,elog time gap vector at 2024-01-16 09:43:19Z,6,2024-01-16 01:43:19.781968-08,0.994542718908624,0.000223147791725094
33,20149,elog time gap vector at 2024-01-16 14:26:49Z,6,2024-01-16 06:26:49.317565-08,0.994542718908624,0.00045320058245749
