,id,name,vector_id,datetime,score,rerunscore
53,10192,elog time gap vector at 2024-01-19 18:49:21Z,6,2024-01-19 10:49:21.780418-08,0.9999848319385242,0.000243225406537667
46,10286,elog time gap vector at 2024-01-19 22:49:24Z,6,2024-01-19 14:49:24.599809-08,0.997602787743912,0.000443149016873606
48,10476,elog time gap vector at 2024-01-20 16:34:22Z,6,2024-01-20 08:34:22.944347-08,0.997602787743912,0.000184393053067306
60,10570,elog time gap vector at 2024-01-20 20:34:25Z,6,2024-01-20 12:34:25.487455-08,0.997602787743912,0.000335970709807128
191,10819,elog time gap vector at 2024-01-21 19:20:07Z,6,2024-01-21 11:20:07.911619-08,0.997602787743912,0.000371710979141347
20,10945,elog time gap vector at 2024-01-22 01:04:09Z,6,2024-01-21 17:04:09.889364-08,0.997602787743912,0.000878040196722421
145,11035,elog time gap vector at 2024-01-22 05:04:12Z,6,2024-01-21 21:04:12.348759-08,0.997602787743912,0.00159890307141013
146,11123,elog time gap vector at 2024-01-22 09:04:18Z,6,2024-01-22 01:04:18.028709-08,0.997602787743912,0.00291025342371383
90,11215,elog time gap vector at 2024-01-22 13:04:20Z,6,2024-01-22 05:04:20.261496-08,0.997602787743912,0.00013373703901547
50,11367,elog time gap vector at 2024-01-22 19:59:45Z,6,2024-01-22 11:59:45.639506-08,0.997602787743912,0.000377733467607796
30,11558,elog time gap vector at 2024-01-23 04:56:19Z,6,2024-01-22 20:56:19.547008-08,0.997602787743912,0.00144308047932958
62,11652,elog time gap vector at 2024-01-23 08:56:22Z,6,2024-01-23 00:56:22.005661-08,0.997602787743912,0.00262661657576607
189,11812,elog time gap vector at 2024-01-23 16:06:47Z,6,2024-01-23 08:06:47.559595-08,0.997602787743912,0.000224457365973435
55,11903,elog time gap vector at 2024-01-23 20:35:40Z,6,2024-01-23 12:35:40.978534-08,0.997602787743912,0.000439525805870458
40,12085,elog time gap vector at 2024-01-24 05:13:03Z,6,2024-01-23 21:13:03.648498-08,0.997602787743912,0.0016003521887418
99,12179,elog time gap vector at 2024-01-24 09:13:06Z,6,2024-01-24 01:13:06.11896-08,0.997602787743912,0.00291249920009023
66,12328,elog time gap vector at 2024-01-24 15:58:16Z,6,2024-01-24 07:58:16.451785-08,0.997602787743912,0.000241835387596998
108,12430,elog time gap vector at 2024-01-24 20:50:08Z,6,2024-01-24 12:50:08.057285-08,0.997602787743912,0.000200762247617712
